vehicle_id,engine_index,engine_descriptor,engine_cylinders,engine_displacement,turbocharger,fuel_type,fuel_type_1,alternative_fuel_technology,ghg_score,ghg_score_alt_fuel
7060,1861.0,(FFS),6.0,4.0,,Regular,Regular Gasoline,,-1.0,-1.0
7056,1822.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7057,1822.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7058,1822.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7059,1822.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7061,1862.0,(FFS),6.0,4.0,,Regular,Regular Gasoline,,-1.0,-1.0
7166,1928.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7171,1961.0,(FFS),6.0,4.0,,Regular,Regular Gasoline,,-1.0,-1.0
7167,1922.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7168,1922.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7169,1922.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7170,1922.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7172,1962.0,(FFS),6.0,4.0,,Regular,Regular Gasoline,,-1.0,-1.0
7381,1991.0,(FFS),8.0,5.9,,Regular,Regular Gasoline,,-1.0,-1.0
7382,1961.0,(FFS),6.0,4.0,,Regular,Regular Gasoline,,-1.0,-1.0
7385,1971.0,(FFS),6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
7383,1922.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7384,1922.0,(FFS),4.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
7386,1971.0,(FFS),6.0,4.2,,Regular,Regular Gasoline,,-1.0,-1.0
7413,34301.0,(FFS)      (MPFI),8.0,4.9,,Regular,Regular Gasoline,,-1.0,-1.0
6413,69101.0,(GUZZLER)  (FFS)      (MPFI),12.0,5.2,,Premium,Premium Gasoline,,-1.0,-1.0
6414,69102.0,(GUZZLER)  (FFS)      (MPFI),12.0,5.7,,Premium,Premium Gasoline,,-1.0,-1.0
7414,46001.0,(FFS),8.0,3.9,,Premium,Premium Gasoline,,-1.0,-1.0
6694,57004.0,(FFS),6.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
6695,57004.0,(FFS),6.0,2.5,,Regular,Regular Gasoline,,-1.0,-1.0
6832,57003.0,(FFS),8.0,4.0,,Premium,Premium Gasoline,,-1.0,-1.0
6894,3340.0,(FFS),6.0,3.8,,Regular,Regular Gasoline,,-1.0,-1.0
6836,3400.0,(FFS),8.0,5.0,,Regular,Regular Gasoline,,-1.0,-1.0
6896,3400.0,(FFS),8.0,5.0,,Regular,Regular Gasoline,,-1.0,-1.0
6415,35001.0,"GMP4 ANDIC (FFS,TRBO) (MPFI)",4.0,2.2,True,Premium,Premium Gasoline,,-1.0,-1.0
6839,36002.0,"(GUZZLER)  (FFS,TRBO)",6.0,2.8,True,Premium,Premium Gasoline,,-1.0,-1.0
6840,36003.0,"(GUZZLER)  (FFS,TRBO)",6.0,2.8,True,Premium,Premium Gasoline,,-1.0,-1.0
6547,36002.0,"(GUZZLER)  (FFS,TRBO)",6.0,2.8,True,Premium,Premium Gasoline,,-1.0,-1.0
6548,36003.0,"(GUZZLER)  (FFS,TRBO)",6.0,2.8,True,Premium,Premium Gasoline,,-1.0,-1.0
6430,36002.0,"(GUZZLER)  (FFS,TRBO)",6.0,2.8,True,Premium,Premium Gasoline,,-1.0,-1.0
6431,36003.0,"(GUZZLER)  (FFS,TRBO)",6.0,2.8,True,Premium,Premium Gasoline,,-1.0,-1.0
6416,36002.0,"(GUZZLER)  (FFS,TRBO)",6.0,2.8,True,Premium,Premium Gasoline,,-1.0,-1.0
6417,36003.0,"(GUZZLER)  (FFS,TRBO)",6.0,2.8,True,Premium,Premium Gasoline,,-1.0,-1.0
6418,36002.0,"(GUZZLER)  (FFS,TRBO)",6.0,2.8,True,Premium,Premium Gasoline,,-1.0,-1.0
6419,36003.0,"(GUZZLER)  (FFS,TRBO)",6.0,2.8,True,Premium,Premium Gasoline,,-1.0,-1.0
6845,56060.0,JEE        (FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
6846,56061.0,JED        (FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
6703,56031.0,BPE        (FFS),4.0,1.8,,Regular,Regular Gasoline,,-1.0,-1.0
