vehicle_id,city_mpg_ft1,city_electricity_consumption,highway_mpg_ft1,highway_electricity_consumption,unadjusted_city_mpg_ft1,unadjusted_highway_mpg_ft1,combined_mpg_ft1,combined_electricity_consumption,annual_fuel_cost_ft1,save_or_spend_5_year,annual_consumption_in_barrels_ft1,tailpipe_co2_ft1,tailpipe_co2_in_grams_mile_ft1,fuel_economy_score,my_mpg_data
8263,6.37716,0.0,7.652592,0.0,7.652592,10.6286,6.802304,0.0,1870.0,-3612.5,20.600625,-1.0,555.4375,-1.0,N
8264,6.37716,0.0,7.227448000000001,0.0,7.652592,10.203456,6.802304,0.0,1870.0,-3612.5,20.600625,-1.0,555.4375,-1.0,N
8266,5.1017280000000005,0.0,7.227448000000001,0.0,6.37716,9.778312,5.952016,0.0,2125.0,-4887.5,23.54357143,-1.0,634.7857143,-1.0,N
8269,4.676584,0.0,6.37716,0.0,5.6685724952,8.502880000000001,5.526872,0.0,2295.0,-5737.5,25.35461538,-1.0,683.6153846,-1.0,N
8270,4.676584,0.0,6.37716,0.0,5.6685724952,8.502880000000001,5.1017280000000005,0.0,2465.0,-6587.5,27.4675,-1.0,740.5833333,-1.0,N
7928,7.652592,0.0,11.053744,0.0,9.778312,15.305184,8.928024,0.0,1402.5,-1275.0,15.69571429,-1.0,423.1904762,-1.0,N
7929,7.227448000000001,0.0,10.203456,0.0,8.975257498400001,14.454896000000002,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
7930,7.227448000000001,0.0,11.904032,0.0,8.928024,16.580616,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
7931,6.37716,0.0,10.203456,0.0,8.077736,14.1714524952,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
7932,6.37716,0.0,10.203456,0.0,8.030502501600001,14.454896000000002,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
8424,6.802304,0.0,8.928024,0.0,8.502880000000001,12.329176,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
8547,6.37716,0.0,6.802304,0.0,8.077736,9.353168,6.37716,0.0,1997.5,-4250.0,21.974,-1.0,592.4666667,-1.0,N
8425,4.676584,0.0,6.802304,0.0,5.952016,9.353168,5.526872,0.0,2295.0,-5737.5,25.35461538,-1.0,683.6153846,-1.0,Y
8426,6.37716,0.0,8.502880000000001,0.0,7.652592,11.991229034400002,7.227448000000001,0.0,1912.5,-3825.0,22.48147059,-1.0,598.8235294,-1.0,N
8427,6.802304,0.0,9.353168,0.0,8.502880000000001,12.75432,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
8428,6.37716,0.0,9.353168,0.0,8.077736,12.75432,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,Y
8468,6.37716,0.0,8.502880000000001,0.0,8.077736,11.904032,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,Y
8469,5.952016,0.0,7.652592,0.0,7.5581250032,10.6286,6.802304,0.0,1870.0,-3612.5,20.600625,-1.0,555.4375,-1.0,N
8548,6.802304,0.0,7.227448000000001,0.0,8.502880000000001,10.203456,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
8109,8.077736,0.0,11.053744,0.0,9.920012495200002,15.305184,8.928024,0.0,1402.5,-1275.0,15.69571429,-1.0,423.1904762,-1.0,N
8112,6.802304,0.0,9.353168,0.0,8.502880000000001,13.081340764800002,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,Y
8110,8.928024,0.0,10.6286,0.0,11.053744,14.88004,9.353168,0.0,1360.0,-1062.5,14.98227273,-1.0,403.9545455,-1.0,Y
8111,7.227448000000001,0.0,9.778312,0.0,8.928024,13.604608,8.077736,0.0,1572.5,-2125.0,17.34789474,-1.0,467.7368421,-1.0,Y
8113,6.37716,0.0,9.353168,0.0,8.077736,12.75432,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
8273,6.37716,0.0,8.502880000000001,0.0,8.077736,11.904032,7.227448000000001,0.0,1742.5,-2975.0,19.38882353,-1.0,522.7647059,-1.0,N
8274,5.952016,0.0,8.077736,0.0,7.5581250032,11.053744,6.802304,0.0,1870.0,-3612.5,20.600625,-1.0,555.4375,-1.0,Y
7553,13.179464,0.0,14.88004,0.0,17.005760000000002,21.2572,14.029752,0.0,892.5,1275.0,9.988181818,-1.0,269.3030303,-1.0,N
7554,15.730328,0.0,19.13148,0.0,21.2572,27.209216,17.005760000000002,0.0,722.5,2125.0,8.24025,-1.0,222.175,-1.0,N
8473,4.676584,0.0,6.37716,0.0,5.526872,8.502880000000001,5.1017280000000005,0.0,2465.0,-6587.5,27.4675,-1.0,740.5833333,-1.0,Y
8474,5.952016,0.0,8.502880000000001,0.0,7.227448000000001,11.478888,6.802304,0.0,2040.0,-4462.5,23.8865625,-1.0,636.25,-1.0,N
7451,5.526872,0.0,8.502880000000001,0.0,6.802304,11.478888,6.37716,0.0,2380.0,-6162.5,21.974,-1.0,592.4666667,-1.0,N
7762,8.502880000000001,0.0,11.053744,0.0,10.6286,15.2615642256,9.353168,0.0,1360.0,-1062.5,14.98227273,-1.0,403.9545455,-1.0,N
7763,7.227448000000001,0.0,9.353168,0.0,8.928024,13.179464,8.077736,0.0,1912.5,-3825.0,17.34789474,-1.0,467.7368421,-1.0,N
7765,7.652592,0.0,10.203456,0.0,9.353168,14.1714524952,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
7764,7.652592,0.0,10.203456,0.0,9.353168,14.454896000000002,8.502880000000001,0.0,1785.0,-3187.5,16.4805,-1.0,444.35,-1.0,N
7766,7.227448000000001,0.0,11.053744,0.0,8.928024,15.730328,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
7555,7.652592,0.0,10.203456,0.0,9.778312,14.1714524952,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
7556,7.227448000000001,0.0,9.353168,0.0,8.928024,13.179464,8.077736,0.0,1912.5,-3825.0,17.34789474,-1.0,467.7368421,-1.0,N
7558,7.652592,0.0,10.203456,0.0,9.353168,14.1714524952,8.502880000000001,0.0,1487.5,-1700.0,16.4805,-1.0,444.35,-1.0,N
7557,7.652592,0.0,10.203456,0.0,9.353168,14.454896000000002,8.502880000000001,0.0,1785.0,-3187.5,16.4805,-1.0,444.35,-1.0,N
7559,6.802304,0.0,10.203456,0.0,8.502880000000001,14.454896000000002,8.077736,0.0,1572.5,-2125.0,17.34789474,-1.0,467.7368421,-1.0,N
7933,7.227448000000001,0.0,10.203456,0.0,8.928024,14.029752,8.077736,0.0,1572.5,-2125.0,17.34789474,-1.0,467.7368421,-1.0,N
8021,6.802304,0.0,10.203456,0.0,8.502880000000001,14.029752,8.077736,0.0,1572.5,-2125.0,17.34789474,-1.0,467.7368421,-1.0,Y
8022,6.37716,0.0,9.778312,0.0,8.077736,13.604608,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
7455,6.802304,0.0,9.353168,0.0,8.502880000000001,13.179464,7.652592,0.0,1997.5,-4250.0,18.31166667,-1.0,493.7222222,-1.0,N
8433,6.802304,0.0,8.928024,0.0,8.502880000000001,12.329176,7.652592,0.0,1657.5,-2550.0,18.31166667,-1.0,493.7222222,-1.0,N
7456,7.652592,0.0,10.203456,0.0,9.778312,14.454896000000002,8.928024,0.0,1402.5,-1275.0,15.69571429,-1.0,423.1904762,-1.0,N
